Metric,Method,Test,Statistic,p_value,BH_p,Significant,Target_Method,Friedman_p,CD
Accuracy,Base,Wilcoxon,0.0,0.015625,0.026041666666666668,YES ***,SR-CCP,1.7951091553133667e-05,5.12
Accuracy,DBP,Wilcoxon,0.0,0.015625,0.026041666666666668,YES ***,SR-CCP,1.7951091553133667e-05,5.12
Accuracy,REP,Wilcoxon,0.0,0.015625,0.026041666666666668,YES ***,SR-CCP,1.7951091553133667e-05,5.12
Accuracy,MEP,Wilcoxon,5.0,0.15625,0.1953125,no,SR-CCP,1.7951091553133667e-05,5.12
Accuracy,CCP,Wilcoxon,8.0,0.375,0.375,no,SR-CCP,1.7951091553133667e-05,5.12
Accuracy,DBP,Paired t-test,3.9664363051336493,0.0073970557569525905,0.028861054621111902,YES ***,SR-CCP,1.7951091553133667e-05,5.12
Accuracy,Base,Paired t-test,3.5870743594315906,0.011544421848444762,0.028861054621111902,YES ***,SR-CCP,1.7951091553133667e-05,5.12
Accuracy,REP,Paired t-test,3.019566521974878,0.023410174879790073,0.039016958132983455,YES ***,SR-CCP,1.7951091553133667e-05,5.12
Accuracy,MEP,Paired t-test,1.9103995967313452,0.10464992094685274,0.13081240118356594,no,SR-CCP,1.7951091553133667e-05,5.12
Accuracy,CCP,Paired t-test,0.8472351023819198,0.42935757890593124,0.42935757890593124,no,SR-CCP,1.7951091553133667e-05,5.12
